Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng,Spring_tavg,Spring_tmin,Spring_tmax,Spring_prcp,Spring_tsun,Summer_tavg,Summer_tmin,Summer_tmax,Summer_prcp,Summer_tsun,Fall_tavg,Fall_tmin,Fall_tmax,Fall_prcp,Fall_tsun
Mad Méditerranée Rosé 2019,France,Méditerranée,Château Camparnaud,4.0,25,10.11,2019,43.6487851,2.3435684,10.436798413594564,6.861406723658244,14.396997451782227,6.602795441945394,28440.051432291668,20.116474787394207,15.145851135253906,25.113520940144856,2.796272317568461,41615.04296875,13.636117299397787,10.098449548085531,17.658825556437176,3.4981003403663635,27850.805338541668
Redoma Rosé 2019,Portugal,Douro,Niepoort,3.9,25,12.81,2019,41.135684,-7.1166743,13.57977326711019,8.475238164265951,18.86663595835368,3.1922223567962646,33208.882161458336,24.075598398844402,17.525668462117512,30.95772870381673,1.0370251149094354,44951.703125,17.778826395670574,12.393338680267334,23.75357151031494,1.8493190109729767,31785.779296875
Fantini Cerasuolo d'Abruzzo 2019,Italy,Abruzzo,Farnese,3.6,25,5.6,2019,42.227681,13.854983,10.602023760477701,6.36189591884613,15.209601720174154,4.013333280881246,32523.526041666668,19.73992156982422,14.832558949788412,24.75845464070638,1.7109677195549011,46513.973958333336,12.760869344075521,8.998509248097736,17.234744707743328,4.005555470784505,28022.918619791668
La Villa Rosé 2018,France,Languedoc,Château La Sauvageonne,4.6,25,68.95,2018,43.6796869,1.3966515,13.542388916015625,8.288139661153158,19.145344416300457,2.790035843849182,35105.281901041664,22.47248077392578,17.608444849650066,27.81518300374349,1.809283177057902,37921.236979166664,13.687856356302897,9.449430465698242,18.574663480122883,1.1632616718610127,26909.650390625
La Rosé de Manincor 2019,Italy,Vigneti delle Dolomiti,Manincor,4.1,25,17.5,2019,46.38333,11.85,1.7228922843933105,-2.4880948464075723,5.984198955198129,4.241147041320801,31333.794921875,11.634391784667969,6.371457099914551,16.471134503682453,4.925197045008342,42138.182291666664,4.619968473911286,0.256170133749644,9.244091510772705,4.814802885055542,26525.716796875
Mea Rosa 2019,Italy,Liguria,Lvnae,3.9,25,11.45,2019,44.4777617,8.7026296,9.87078332901001,6.718842148780823,13.388716538747152,5.832724094390869,32017.445963541668,20.158288319905598,16.75231870015462,23.75620714823405,2.494982043902079,44460.006510416664,12.572118441263834,9.84178113937378,15.982157071431478,7.762043396631877,27945.031901041668
Amethystos Rosé 2013,Greece,Drama,Costa Lazaridi,3.8,25,9.7,2013,41.1499443,24.1468286,14.390631675720215,8.667675495147705,19.107103029886883,2.0585662126541138,37476.3984375,27.10009002685547,20.826744715372723,31.796170552571613,0.23272400597731271,47394.475260416664,17.819776217142742,12.81864325205485,22.218142827351887,2.1467742224534354,31980.858723958332
Cinsault 2019,France,Pays d'Oc,Les Jamelles,3.6,26,5.56,2019,43.604764,1.4540399,12.48267904917399,8.268017768859863,17.020436604817707,3.188566287358602,30752.929036458332,22.576364517211914,16.94946797688802,28.004109700520832,1.5693190097808838,42478.255208333336,15.601071039835611,11.203662872314453,20.54557991027832,1.9136560211579006,29236.901041666668
Rosé 2019,South Africa,Paarl,Backsberg,3.5,26,6.45,2019,-33.7310282,18.9642117,18.437167485555012,12.973738034566244,25.15791384379069,1.89426522453626,32703.397135416668,12.311761220296225,7.357089678446452,17.873111089070637,3.1312904357910156,27279.024739583332,17.287007013956707,10.96646245320638,24.354185740152996,1.1061648428440096,39750.044921875
Rosa 2019,Austria,Burgenland,Umathum,3.9,26,9.91,2019,47.5000001,16.4166666,11.367276589075724,7.309473117192586,15.597160498301188,2.28863795598348,33879.134114583336,21.033786137898762,17.03841495513916,25.17065493265788,2.36831533908844,42804.670572916664,12.195910771687826,9.258774280548094,15.841480255126953,2.3058064778645835,25311.174153645832
