Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng,Spring_tavg,Spring_tmin,Spring_tmax,Spring_prcp,Spring_tsun,Summer_tavg,Summer_tmin,Summer_tmax,Summer_prcp,Summer_tsun,Fall_tavg,Fall_tmin,Fall_tmax,Fall_prcp,Fall_tsun
Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,25,14.41,2017,47.217396,1.647682,10.25845464070638,5.999365409215291,14.254974365234375,3.6700358390808105,30696.402994791668,19.986005783081055,15.18798573811849,24.404061635335285,0.9423655420541764,37123.895182291664,13.429089546203613,9.401013851165771,17.50479571024577,1.8046593864758809,24878.733723958332
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,25,11.9,2019,-41.4744747,173.8330263,13.029088973999023,9.174718697865805,18.021618843078613,2.27767022450765,28442.056640625,7.874045689900716,4.054091374079387,12.742945035298666,3.457598606745402,22950.337239583332,11.92463207244873,7.576600710550944,17.447460810343426,3.3616488377253213,35442.954427083336
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4.0,25,22.13,2015,53.0023496,9.0820955,10.64025354385376,6.358985662460327,14.9700075785319,2.353942592938741,31271.531901041668,17.528618176778156,13.407265345255533,21.528592427571613,2.1072760025660195,39145.2890625,12.282653967539469,9.64859120051066,15.152767499287924,1.4158064723014832,19834.020182291668
Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,27,269.0,2007,45.831944,-0.906667,11.887059211730957,7.829263528188069,15.967883745829264,2.1757347782452903,34452.123697916664,21.533185323079426,16.763761520385742,26.10403060913086,0.9475627243518829,44411.329427083336,16.09959061940511,12.59349282582601,20.157435417175293,3.547992785771688,27302.920572916668
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,27,41.29,2011,43.4586541,11.1389204,11.798092683156332,6.740369002024333,16.44352372487386,3.426487445831299,34162.970703125,22.35589599609375,16.920011202494305,27.406696319580078,1.8465591669082642,44914.4375,13.746631304423014,9.484419027964273,18.051409085591633,4.571828047434489,27704.697916666668
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,27,14.87,2017,44.8260126,8.2026863,12.379969278971354,7.372286558151245,17.320530891418457,1.9955196380615234,35616.376302083336,23.00768979390462,18.023648897806805,27.911462148030598,1.9641935427983601,45334.65625,13.70159657796224,9.82148027420044,17.753899892171223,2.810071667035421,26294.75
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,28,27.95,2008,49.9045181,8.2711082,11.879271507263184,6.5255967775980634,16.778052012125652,1.6250895770887535,35141.188802083336,18.21624183654785,13.720184326171875,22.318411509195965,3.3092830181121826,39320.889322916664,9.455848375956217,6.061474879582723,12.858858744303385,1.459354837735494,20167.990234375
Giovanni Galliano Brut Rosé 2016,Italy,Piemonte,Borgo Maragliano,3.7,28,22.9,2016,45.060735,7.923549,12.245922247568766,7.243742068608602,16.961018562316895,3.801899512608846,34366.3359375,22.853190104166668,17.876824696858723,27.43229103088379,2.764265298843384,42542.397135416664,12.233245372772217,8.48349142074585,16.398132642110188,2.245089540878932,27082.46484375
Moscato d'Asti 2019,Italy,Moscato d'Asti,Tenimenti Ca'Bianca,3.9,29,7.45,2019,42.83333,12.83333,10.944860617319742,5.61612343788147,15.99802335103353,4.016845901807149,32957.818359375,20.684879302978516,13.892772356669107,26.438435236612957,1.5591397881507874,46079.90234375,13.052374521891275,7.969582398732503,18.79178587595622,3.1346237659454346,29003.87109375
San Carlo Moscato d'asti 2017,Italy,Moscato d'Asti,Montalbera,3.8,29,9.9,2017,42.83333,12.83333,10.722898642222086,5.86231009165446,15.431844075520834,3.4023298422495523,37039.225260416664,20.540043512980144,15.151037534077963,25.571807861328125,1.8716487884521484,44752.73046875,12.706296602884928,8.526951471964518,17.286306381225586,2.7554479837417603,29883.887369791668
