Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng
Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011,Pomerol,France,44.9311234,-0.1999904
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017,Lirac,France,44.0372,4.69136
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015,Toscana,Italy,43.4586541,11.1389204
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,Bardolino,Italy,45.5475595,10.7242145
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,Carnuntum,Austria,48.1141485,16.8657834
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017,Gigondas,France,44.1641127,5.0051053
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,Wairarapa,New Zealand,-41.2361798,175.2196902
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,2014,Itata Valley,Chile,-30.0,-71.0
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015,Chianti,Italy,43.5824597,11.3168731
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014,Minervois,France,43.2718,2.52099
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,Chianti,Italy,43.5824597,11.3168731
Descendant 2016,Australia,Barossa,Torbreck,4.3,100,140.64,2016,Barossa,Australia,-34.6134149,138.9385455
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017,Terrasses du Larzac,France,43.7152761,3.4888802
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,9.26,2018,Puglia,Italy,40.9842539,16.6210027
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017,Côtes-du-Rhône,France,44.7667285,4.8528701
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,6.5,2018,South Eastern Australia,Australia,-35.0085711,138.5726421
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,2016,Stellenbosch,South Africa,-33.934444,18.869167
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,41.58,2016,Bierzo,Spain,42.60645,-6.8097712
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,7.95,2015,California,United States,36.7014631,-118.755997
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,12.9,2016,Salento,Italy,40.248604,15.190058
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,9.9,2015,Douro,Portugal,41.135684,-7.1166743
Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.5,2013,Sopron,Hungary,47.6803063,16.5983457
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015,Puglia,Italy,40.9842539,16.6210027
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013,Serra Gaúcha,Brazil,-29.1551147,-51.5153447
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,Stellenbosch,South Africa,-33.934444,18.869167
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016,Chianti Classico,Italy,43.3930219,11.3088538
