Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng,3-5_tavg,3-5_tmin,3-5_tmax,3-5_prcp,3-5_tsun,6-8_tavg,6-8_tmin,6-8_tmax,6-8_prcp,6-8_tsun,9-11_tavg,9-11_tmin,9-11_tmax,9-11_prcp,9-11_tsun
Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011-01-01,Pomerol,France,44.9311234,-0.1999904,12.5,7.666666666666667,18.033333333333335,45.333333333333336,12600.0,20.566666666666666,15.266666666666667,26.5,44.666666666666664,15300.0,13.533333333333331,9.433333333333334,18.599999999999998,110.66666666666667,10060.0
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017-01-01,Lirac,France,44.0372,4.69136,,,,,,,,,,,,,,,
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019-01-01,Bardolino,Italy,45.5475595,10.7242145,,,,,,,,,,,12.5,10.1,15.3,,
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016-01-01,Carnuntum,Austria,48.1141485,16.8657834,,,,,,,,,,,,,,,
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017-01-01,Gigondas,France,44.1641127,5.0051053,,,,,,24.5,16.8,32.0,,,,,,,
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016-01-01,Wairarapa,New Zealand,-41.2361798,175.2196902,15.899999999999999,,,128.8,,10.266666666666667,,,79.0,,12.299999999999999,,,38.03333333333334,
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,2014-01-01,Itata Valley,Chile,-30.0,-71.0,13.733333333333334,10.933333333333332,17.96666666666667,10.666666666666666,8900.0,10.666666666666666,7.766666666666667,15.133333333333335,0.5,8880.0,12.866666666666665,9.433333333333334,17.666666666666664,1.6666666666666667,11960.0
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015-01-01,Chianti,Italy,43.5824597,11.3168731,,,,,,,,,,,,,,,
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014-01-01,Minervois,France,43.2718,2.52099,13.3,9.2,17.9,,,24.0,17.9,30.8,,,16.4,12.8,20.7,,
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013-01-01,Chianti,Italy,43.5824597,11.3168731,,,,,,,,,,,,,,,
Descendant 2016,Australia,Barossa,Torbreck,4.3,100,140.64,2016-01-01,Barossa,Australia,-34.6134149,138.9385455,,9.133333333333333,17.633333333333336,39.400000000000006,,,5.566666666666667,11.033333333333331,62.73333333333334,,,10.0,20.866666666666664,31.7,
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017-01-01,Terrasses du Larzac,France,43.7152761,3.4888802,,,,,,,,,,,16.3,13.7,19.4,,
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,9.26,2018-01-01,Puglia,Italy,40.9842539,16.6210027,16.049999999999997,11.2,20.25,,,25.75,20.2,30.4,,,,,,,
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017-01-01,Côtes-du-Rhône,France,44.7667285,4.8528701,,,,,,,,,,,,,,,
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,6.5,2018-01-01,South Eastern Australia,Australia,-35.0085711,138.5726421,17.9,12.933333333333332,23.266666666666666,14.8,,11.633333333333333,7.033333333333334,16.033333333333335,58.76666666666667,,17.666666666666668,13.200000000000001,22.75,37.2,
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,2016-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.15,15.5,24.15,,,12.566666666666668,7.55,17.8,,,17.1,13.0,24.5,,
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,41.58,2016-01-01,Bierzo,Spain,42.60645,-6.8097712,,7.066666666666666,21.03333333333333,34.13333333333333,,21.2,14.666666666666666,30.2,17.0,,15.2,8.266666666666666,19.5,70.53333333333335,
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,7.95,2015-01-01,California,United States,36.7014631,-118.755997,,,,,,,,,,,,,,,
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,12.9,2016-01-01,Salento,Italy,40.248604,15.190058,15.366666666666667,11.5,19.566666666666666,,,25.066666666666663,,30.700000000000003,,,19.266666666666666,,28.2,,
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,9.9,2015-01-01,Douro,Portugal,41.135684,-7.1166743,,,,,,,,,,,,,,,
Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.5,2013-01-01,Sopron,Hungary,47.6803063,16.5983457,,,,,,,,,,,16.8,11.3,22.6,,
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015-01-01,Puglia,Italy,40.9842539,16.6210027,,,,,,,,,,,,,,,
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013-01-01,Serra Gaúcha,Brazil,-29.1551147,-51.5153447,,,,,,,,,,,,,,,
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.033333333333335,12.799999999999999,23.233333333333334,40.0,14380.0,13.166666666666666,8.233333333333333,18.166666666666668,101.66666666666667,10820.0,17.666666666666668,12.066666666666668,23.266666666666666,17.666666666666668,17700.0
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016-01-01,Chianti Classico,Italy,43.3930219,11.3088538,,,,,,,,,,,,,,,
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012-01-01,Saint-Émilion Grand Cru,France,44.847147,-0.547337,15.133333333333333,9.566666666666668,21.166666666666668,17.666666666666668,15120.0,19.933333333333334,14.9,25.666666666666668,56.666666666666664,13020.0,15.600000000000001,11.5,21.033333333333335,33.666666666666664,10580.0
Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,15.9,2013-01-01,Veneto,Italy,45.6476663,11.8665254,14.333333333333334,8.566666666666666,20.86666666666667,76.0,,25.433333333333334,19.333333333333332,31.599999999999998,59.666666666666664,,14.933333333333332,10.799999999999999,19.666666666666668,70.0,
Pinot Noir 2016,United States,Monterey,District 7,3.6,1001,15.98,2016-01-01,Monterey,United States,36.2231079,-121.387742,,,,,,,,,,,,,,,
Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015-01-01,Saint-Estèphe,France,45.5925,0.6633333,,,,,,,,,,,,,,,
Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,1004,8.83,2017-01-01,Yecla,Spain,38.6135956,-1.1157882,16.666666666666668,,22.0,11.25,,24.799999999999997,,,0.55,,20.099999999999998,,,5.1,
Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015-01-01,Campo de Borja,Spain,41.7865415,-1.5058323,,,,,,,,,,,,,,,
Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010-01-01,Saint-Julien,France,47.4019947,5.1364639,11.700000000000001,6.5,17.133333333333333,47.333333333333336,12500.0,19.7,14.066666666666668,25.599999999999998,88.66666666666667,15340.0,11.800000000000002,7.666666666666667,16.733333333333334,56.0,8560.0
Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017-01-01,Bourgogne,France,49.3555104,4.0681417,,,,,,,,,,,,,,,
Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007-01-01,Barbera d'Asti,Italy,44.8524808,8.2414532,,,,,,,,,,,,,,,
I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,7.04,2017-01-01,Salento,Italy,40.248604,15.190058,15.266666666666666,,20.8,,,24.099999999999998,,29.6,,,19.0,,26.8,,
Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017-01-01,Bordeaux,France,44.841225,-0.5800364,12.066666666666668,8.1,17.233333333333334,87.46666666666665,,20.566666666666666,15.433333333333335,26.7,32.833333333333336,,14.5,10.233333333333334,19.866666666666664,54.199999999999996,
Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015-01-01,Sancerre,France,47.3306906,2.8390454,,,,,,,,,,,,,,,
Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016-01-01,McLaren Vale,Australia,-35.2172617,138.5416998,,12.399999999999999,20.3,44.866666666666674,,,8.266666666666666,14.933333333333332,41.8,,,12.333333333333334,22.8,19.4,
Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018-01-01,Saint-Joseph,France,49.5344534,-1.529802,,,,,,,,,,,,,,,
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,101,16.5,2015-01-01,Stellenbosch,South Africa,-33.934444,18.869167,18.033333333333335,12.799999999999999,23.233333333333334,40.0,14380.0,13.166666666666666,8.233333333333333,18.166666666666668,101.66666666666667,10820.0,17.666666666666668,12.066666666666668,23.266666666666666,17.666666666666668,17700.0
Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015-01-01,Fronsac,France,42.9509183,0.6487221,11.566666666666668,5.966666666666666,17.76666666666667,110.33333333333333,11280.0,18.766666666666666,13.799999999999999,24.366666666666664,96.66666666666667,11600.0,14.533333333333331,8.566666666666666,21.733333333333334,43.666666666666664,11360.0
Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014-01-01,Terre del Volturno,Italy,41.02317,13.92577,14.0,8.166666666666666,19.933333333333334,,11740.0,23.666666666666668,17.266666666666666,30.633333333333336,,18640.0,17.633333333333336,12.566666666666668,23.566666666666666,150.5,11100.0
Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,101,9.95,2018-01-01,Lazio,Italy,41.9808038,12.7662312,,,,,,,,,,,,,,,
Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014-01-01,Castilla y León,Spain,41.55005,-5.1387401,8.466666666666667,3.0,13.933333333333332,66.66666666666667,12140.0,19.366666666666667,11.266666666666666,27.46666666666667,30.0,20640.0,12.5,6.733333333333334,18.23333333333333,40.0,11840.0
Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018-01-01,Central Valley,Chile,-36.0,-72.0,,,,,,,,,,,,,,,
Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,101,27.95,2013-01-01,Alentejano,Portugal,38.8421261,-7.5871012,,,,,,,,,,,,,,,
Fronsac 2005,France,Fronsac,Château Villars,3.8,101,25.95,2005-01-01,Fronsac,France,42.9509183,0.6487221,9.8,5.0,15.166666666666666,105.66666666666667,9560.0,19.7,14.233333333333334,25.5,38.0,13160.0,12.633333333333333,7.8,18.666666666666668,96.33333333333333,9460.0
Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014-01-01,Madiran,France,43.5502022,-0.0580853,11.8,7.75,16.4,,,19.85,15.35,24.8,,,12.2,8.7,16.6,,
Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,101,18.03,2016-01-01,Napa Valley,United States,38.8484702,-94.413093,,,,,,,,,,,,,,,
12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,101,9.4,2016-01-01,Puglia,Italy,40.9842539,16.6210027,,,,,,,,,,,,,,,
El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,101,10.95,2013-01-01,Almansa,Spain,38.8682065,-1.0978627,13.200000000000001,6.333333333333333,20.033333333333335,34.333333333333336,16540.0,25.599999999999998,17.2,33.96666666666666,3.6666666666666665,20580.0,15.333333333333334,9.866666666666667,20.799999999999997,82.66666666666667,12640.0
Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,101,8.9,2017-01-01,Catalunya,Spain,41.8523094,1.5745043,,,,,,,,,,,,,,,
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,11.05,2018-01-01,Languedoc,France,43.6796869,1.3966515,13.666666666666666,8.566666666666668,19.799999999999997,75.8,,22.46666666666667,17.733333333333334,28.599999999999998,40.9,,13.666666666666666,9.466666666666667,19.099999999999998,26.433333333333334,
Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018-01-01,Pays d'Oc,France,43.604764,1.4540399,13.666666666666666,8.566666666666668,19.799999999999997,75.8,,22.46666666666667,17.733333333333334,28.599999999999998,40.9,,13.666666666666666,9.466666666666667,19.099999999999998,26.433333333333334,
Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31.18,2015-01-01,Barbera d'Alba,Italy,44.7712158,8.0435811,12.633333333333333,9.6,16.166666666666668,68.33333333333333,11300.0,19.3,16.166666666666668,22.833333333333332,109.66666666666667,11340.0,13.533333333333333,11.666666666666666,15.766666666666667,96.0,7340.0
Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,101,39.9,2014-01-01,Barolo,Italy,44.6108408,7.9428448,,,,,,,,,,,,,,,
Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017-01-01,Pauillac,France,45.1995626,-0.7484994,12.066666666666668,8.1,17.233333333333334,87.46666666666665,,20.566666666666666,15.433333333333335,26.7,32.833333333333336,,14.5,10.233333333333334,19.866666666666664,54.199999999999996,
