Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng
Mad Méditerranée Rosé 2019,France,Méditerranée,Château Camparnaud,4.0,25,10.11,2019,43.6487851,2.3435684
Redoma Rosé 2019,Portugal,Douro,Niepoort,3.9,25,12.81,2019,41.135684,-7.1166743
Fantini Cerasuolo d'Abruzzo 2019,Italy,Abruzzo,Farnese,3.6,25,5.6,2019,42.227681,13.854983
Mount Hermon Rosé 2017,Israel,Galilee,Hermon,3.4,25,12.14,2017,32.8008444,35.5889732
La Villa Rosé 2018,France,Languedoc,Château La Sauvageonne,4.6,25,68.95,2018,43.6796869,1.3966515
La Rosé de Manincor 2019,Italy,Vigneti delle Dolomiti,Manincor,4.1,25,17.5,2019,46.38333,11.85
Mea Rosa 2019,Italy,Liguria,Lvnae,3.9,25,11.45,2019,44.4777617,8.7026296
Amethystos Rosé 2013,Greece,Drama,Costa Lazaridi,3.8,25,9.7,2013,41.1499443,24.1468286
Cinsault 2019,France,Pays d'Oc,Les Jamelles,3.6,26,5.56,2019,43.604764,1.4540399
Rosé 2019,South Africa,Paarl,Backsberg,3.5,26,6.45,2019,-33.7310282,18.9642117
Rosa 2019,Austria,Burgenland,Umathum,3.9,26,9.91,2019,47.5000001,16.4166666
Primer Rosé 2018,Spain,Rioja,Marqués de Murrieta,3.9,26,25.15,2018,42.3285528,-2.4674917
Réserve Côtes du Rhône Rosé 2018,France,Côtes-du-Rhône,Famille Perrin,3.6,26,8.9,2018,44.7667285,4.8528701
Rosé 2016,France,Pays d'Oc,Mas Janeil,3.6,26,3.7,2016,43.604764,1.4540399
Rosé 2019,France,South West France,Mimbeau,3.7,26,7.45,2019,44.2582021,0.297966
Rosé 2018,Portugal,Douro Superior,CARM,3.7,26,9.55,2018,41.0912762,-6.8119369
Roseri Valtenesi Chiaretto Rosato 2019,Italy,Lombardia,Cà Maiol,3.9,26,9.3,2019,45.5703694,9.7732524
Rosado 2019,Spain,Rioja,Marqués de Riscal,3.7,27,6.85,2019,42.3285528,-2.4674917
Altozano Tempranillo - Syrah Rosé 2018,Spain,Castilla,Finca Constancia,3.5,27,5.75,2018,40.4763551,-3.6800358
Rosado 2018,Spain,Rioja,Campo Viejo,3.7,27,5.99,2018,42.3285528,-2.4674917
Rosé 2017,Portugal,Douro,Cascas,3.6,27,6.24,2017,41.135684,-7.1166743
Côté Rosé 2019,France,Languedoc-Roussillon,Domaine Lafage,3.8,27,6.81,2019,43.508482,2.34549
La Vie Rosé 2019,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.8,27,13.69,2019,53.8156324,13.3702287
il Fenicottero Toscana 2018,Italy,Toscana,Monte Guelfo,3.4,27,6.42,2018,43.4586541,11.1389204
Moulin des Costes Bandol Rosé 2019,France,Bandol,Domaines Bunan,3.9,27,18.9,2019,43.1357717,5.7523647
Perlita Rosado 2018,Argentina,Uco Valley,DiamAndes,4.0,27,9.99,2018,-34.0,-64.0
Friponne Rosé 2019,France,Maures,Saint Roux,3.5,27,9.07,2019,43.1381313,6.2355346
Castel Firmian Lagrein Rosato Trentino 2018,Italy,Trentino,Mezzacorona,3.3,28,6.05,2018,46.1029536,11.1297425
Rosé 2019,France,Vin de France,Les 5 Vallees,3.7,28,7.31,2019,50.2767373,3.977096
Tellus Rosé di Syrah 2018,Italy,Lazio,Falesco,3.4,28,11.13,2018,41.9808038,12.7662312
Rosé 2018,South Africa,Cape Town,Cape Town Wine Co,3.1,28,7.5,2018,-33.928992,18.417396
Coteaux Varois en Provence Rosé 2019,France,Coteaux Varois en Provence,Château Routas,3.9,28,12.9,2019,47.283531,0.303704
Pinot Grigio Veneto Rosé 2019,Italy,Veneto,Torresella,3.8,28,6.77,2019,45.6476663,11.8665254
The Pavillion Rosé 2019,South Africa,Paarl,Boschendal,3.4,28,6.3,2019,-33.7310282,18.9642117
Danie de Wet Rosé 2019,South Africa,Robertson,De Wetshof,4.0,28,6.5,2019,-33.802222,19.883611
Tempranillo Rosé 2018,Spain,La Mancha,Añoranza,3.4,28,3.95,2018,28.3774367,-16.6977504
Purple Rosé 2019,Italy,Toscana,Castello di Ama,4.1,28,21.82,2019,43.4586541,11.1389204
Rosato 2019,Italy,Puglia,Epicuro,3.6,28,5.5,2019,40.9842539,16.6210027
Basilicata Pipoli Rosato 2018,Italy,Basilicata,Vigneti del Vulture,3.5,29,5.77,2018,40.500571,16.081953
Rosado 2018,Spain,Rioja,Hacienda López de Haro,3.4,29,6.95,2018,42.3285528,-2.4674917
Valley Oaks White Zinfandel 2017,United States,California,Fetzer,4.0,29,9.65,2017,36.7014631,-118.755997
Rosado 2019,Spain,Rioja,Hacienda López de Haro,3.4,29,6.94,2019,42.3285528,-2.4674917
Rosato di Toscana Sbrancato 2018,Italy,Toscana,Tenuta Il Poggione,3.4,29,7.7,2018,43.4586541,11.1389204
Five Roses Salento 2018,Italy,Salento,Leone de Castris,3.7,29,7.77,2018,40.248604,15.190058
Clair de Rose 2019,France,Pays d'Oc,Les Jamelles,3.3,29,5.56,2019,43.604764,1.4540399
Chiaretto Garda Classico 2019,Italy,Garda,Bulgarini,4.0,30,7.36,2019,45.5756512,10.7085298
Blanc de Noir Rosé 2016,South Africa,Paarl,Niel Joubert,3.7,30,5.23,2016,-33.7310282,18.9642117
Merlot Rosé 2019,Argentina,San Rafael,Goyenechea,3.2,30,6.29,2019,-34.6126025,-68.330514
Clos Beylesse Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine de l'Abbaye,4.5,30,19.9,2019,43.4370505,6.652775
Tinta (Barocca) Rosé 2019,South Africa,Swartland,Allesverloren,3.6,30,7.95,2019,-33.29356,18.5993825
Cirò Rosato 2019,Italy,Cirò,Tenuta Iuzzolini,4.0,30,6.77,2019,39.381732,17.0613529
Cerasuolo d'Abruzzo 2017,Italy,Cerasuolo d'Abruzzo,Valle Reale,3.4,31,8.95,2017,42.83333,12.83333
Vin Ruspo 2018,Italy,Carmignano,Capezzana,3.4,31,8.9,2018,43.8140654,11.0190297
Cantaloro Rosato 2018,Italy,Toscana,Avignonesi,3.6,31,9.65,2018,43.4586541,11.1389204
281 Rosé 2019,France,Provence,Minuty,4.5,31,52.89,2019,44.0580563,6.0638506
Bardolino Chiaretto 2019,Italy,Bardolino Chiaretto,Gorgo,3.8,31,7.3,2019,42.71231,13.78745
Mediodía Rosado 2019,Spain,Navarra,Inurrieta,4.1,31,5.3,2019,42.6125488,-1.8307877
