Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng,3-5_tavg,3-5_tmin,3-5_tmax,3-5_prcp,3-5_tsun,6-8_tavg,6-8_tmin,6-8_tmax,6-8_prcp,6-8_tsun,9-11_tavg,9-11_tmin,9-11_tmax,9-11_prcp,9-11_tsun
Vermentino 2017,Italy,Toscana,Famiglia Castellani,3.8,25,5.65,2017-01-01,Toscana,Italy,43.4586541,11.1389204,,,,,,,,,,,,,,,
Ronco Broilo 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.3,25,44.9,2010-01-01,Colli Orientali del Friuli,Italy,46.0023998,13.4412468,,,,,,,,,,,,,,,
Weisser Schiefer s 2017,Austria,Südburgenland,Weinbau Uwe Schiefer,4.2,25,33.25,2017-01-01,Südburgenland,Austria,47.2915075,16.2072922,,,,,,,,,,,,,,,
Chardonnay 2018,Germany,Rheinhessen,Krämer - Straight,3.9,25,8.99,2018-01-01,Rheinhessen,Germany,49.9045181,8.2711082,,,,,,,,,,,,,,,
Maganza Zibibbo 2018,Italy,Terre Siciliane,Luna Gaia,3.9,25,8.6,2018-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,,,,,,,,,,
Chardonnay 2019,Germany,Pfalz,Schneider,3.7,25,15.9,2019-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Goldloch Riesling GG 2016,Germany,Nahe,Diel,4.1,25,33.9,2016-01-01,Nahe,Germany,49.7874798,7.4869735,,,,,,,,,,,,,,,
Kieselberg GG 2015,Germany,Pfalz,Von Winning,4.1,25,33.95,2015-01-01,Pfalz,Germany,53.8156324,13.3702287,,,,,,,,,,,,,,,
Catarratto 2019,Italy,Terre Siciliane,Feudi Branciforti dei Bordonaro,3.8,25,5.0,2019-01-01,Terre Siciliane,Italy,42.83333,12.83333,,,,,,24.2,17.7,31.7,,,16.099999999999998,11.399999999999999,21.46666666666667,,
Safari Pecorino 2017,Italy,Terre di Chieti,Bove,3.4,25,6.74,2017-01-01,Terre di Chieti,Italy,42.3503,14.16773,,,,,,,,,,,20.7,15.7,26.0,,
Sauvignon Veneto 2019,Italy,Veneto,Torresella,3.8,25,6.77,2019-01-01,Veneto,Italy,45.6476663,11.8665254,14.733333333333334,7.45,19.733333333333334,,,25.366666666666664,20.900000000000002,30.399999999999995,60.599999999999994,,14.25,13.2,18.15,133.7,
Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,25,15.9,2018-01-01,Alsace,France,50.7007285,3.160983,11.566666666666665,4.9,14.649999999999999,26.4,,18.933333333333334,13.15,24.55,52.099999999999994,,11.466666666666667,7.3,15.800000000000002,68.06666666666668,
Grechetto 2018,Italy,Umbria,SIGNÆ,3.6,25,8.9,2018-01-01,Umbria,Italy,42.965916,12.490236,,,,,,,,,,,,,,,
Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,Germany,Wiltingen,Egon Müller - Scharzhof,4.3,25,38.94,2018-01-01,Wiltingen,Germany,49.6591723,6.590185,,,,,,,,,,,,,,,
Unterebner Pinot Grigio 2018,Italy,Südtirol - Alto Adige,Tramin,3.7,25,20.37,2018-01-01,Südtirol - Alto Adige,Italy,46.441472,11.282121,,,,,,,,,,,,,,,
The Guv'nor Blanco 2019,Spain,Castilla,Félix Solís,3.7,25,6.89,2019-01-01,Castilla,Spain,40.4763551,-3.6800358,16.8,8.466666666666667,17.73333333333333,99.3,,24.450000000000003,19.066666666666666,31.433333333333334,6.333333333333333,,12.350000000000001,12.299999999999999,20.9,45.833333333333336,
Oestricher Muschelkalk Riesling Trocken 2018,Germany,Rheingau,Spreitzer,3.8,25,10.4,2018-01-01,Rheingau,Germany,50.1339394,8.0701591,,,,,,,,,,,,,,,
Mâcon-Prissé 2014,France,Mâcon-Prissé,Les Héritiers du Comte Lafon,3.7,25,25.92,2014-01-01,Mâcon-Prissé,France,46.3339517,4.7335828,11.45,7.55,15.85,,,22.8,17.5,28.4,,,,,,,
